iter	Logloss
0	0.6803917299
1	0.6686141407
2	0.6576012527
3	0.6472955626
4	0.637746295
5	0.6287078851
6	0.6202455084
7	0.6123901589
8	0.6050260105
9	0.5981517059
10	0.5917252941
11	0.5858169282
12	0.58025323
13	0.5749350017
14	0.5699426654
15	0.5652563524
16	0.5608092204
17	0.556775888
18	0.5529384159
19	0.5493327138
20	0.546023404
21	0.5428876626
22	0.5399912796
23	0.5372062
24	0.5346115404
25	0.5321784117
26	0.5299310754
27	0.5277325092
28	0.5257239198
29	0.5239770554
30	0.522322262
31	0.5206080986
32	0.5189779598
33	0.5174505193
34	0.5159947229
35	0.5146523432
36	0.5133868726
37	0.5121874519
38	0.5110611911
39	0.5099398271
40	0.5088809367
41	0.5079663444
42	0.5070521918
43	0.506213343
44	0.5054111379
45	0.5046086504
46	0.503836442
47	0.5031621931
48	0.5024945194
49	0.5018610223
50	0.5012530766
51	0.5006824728
52	0.5001029388
53	0.4995179703
54	0.4990250173
55	0.4984994843
56	0.4980101467
57	0.4975554912
58	0.4971247028
59	0.4967385569
60	0.4963562005
61	0.4959821706
62	0.4955803561
63	0.4952454245
64	0.49497226
65	0.4946777798
66	0.4943936473
67	0.4940601286
68	0.4937552231
69	0.4934517602
70	0.4931612971
71	0.4928572848
72	0.4926587092
73	0.4923684299
74	0.4921640811
75	0.4919500302
76	0.4917046313
77	0.4915330504
78	0.4913081831
79	0.4911047498
80	0.4908836245
81	0.4907463114
82	0.4905679983
83	0.4903750773
84	0.4901676371
85	0.490017022
86	0.4898322368
87	0.4896859106
88	0.4895027574
89	0.4893187691
90	0.4891964296
91	0.4890398198
92	0.4888443636
93	0.4887092471
94	0.4885238868
95	0.4883923364
96	0.4882849931
97	0.4880779364
98	0.4879165452
99	0.4878166332
100	0.4877242875
101	0.4875128213
102	0.4873672307
103	0.4872552803
104	0.4871674055
105	0.4870158655
106	0.4868800602
107	0.486725913
108	0.4865967734
109	0.4864810729
110	0.4863495568
111	0.4861803338
112	0.4860160004
113	0.4858761203
114	0.4857160428
115	0.4855573909
116	0.4854680509
117	0.4853785577
118	0.4852594074
119	0.4851732615
120	0.4850636238
121	0.484910163
122	0.4847929595
123	0.4846236714
124	0.4844795017
125	0.4844162588
126	0.484283828
127	0.4842021533
128	0.4841332201
129	0.484008215
130	0.483893261
131	0.4837546983
132	0.4836747139
133	0.4835219119
134	0.4833871594
135	0.4833169682
136	0.4831919096
137	0.4831261707
138	0.4830328132
139	0.482978837
140	0.4829058995
141	0.4828496558
142	0.4826763679
143	0.4825463393
144	0.4824531563
145	0.4823236667
146	0.482199665
147	0.482140422
148	0.4820252845
149	0.4819593723
150	0.48188172
151	0.4817657084
152	0.4817147307
153	0.4816590064
154	0.4815529719
155	0.4814368456
156	0.4813694249
157	0.4812678322
158	0.4811572828
159	0.4810615296
160	0.4809663581
161	0.4808313075
162	0.4807119359
163	0.4806492661
164	0.4805192223
165	0.4804652485
166	0.4804137038
167	0.4803469683
168	0.4802834037
169	0.4801707237
170	0.4800714539
171	0.4799989257
172	0.4799480563
173	0.4798927458
174	0.4797870497
175	0.479726612
176	0.4796580222
177	0.4795802615
178	0.4795217133
179	0.479462065
180	0.4794042602
181	0.4793589917
182	0.4792055462
183	0.4791529035
184	0.4790561768
185	0.4789310329
186	0.4788741882
187	0.4787851243
188	0.4786984106
189	0.4786419159
190	0.4785608081
191	0.478481566
192	0.4784298771
193	0.4783585888
194	0.4783123972
195	0.4782569357
196	0.4781821592
197	0.4781456422
198	0.4780696499
199	0.4779542292
200	0.4778418322
201	0.4777802517
202	0.4777166328
203	0.4776199274
204	0.4775312558
205	0.477462278
206	0.4773859424
207	0.4773233935
208	0.4772054851
209	0.477133413
210	0.4770461016
211	0.4769582009
212	0.4769062219
213	0.4768104997
214	0.4767674639
215	0.4766868197
216	0.4765844912
217	0.4765250457
218	0.4764253507
219	0.4763452715
220	0.4762961651
221	0.4762172212
222	0.4761612791
223	0.4760830606
224	0.4760258794
225	0.4759806056
226	0.4759083113
227	0.4758636158
228	0.4758223796
229	0.4757770712
230	0.4757226179
231	0.4756570844
232	0.4756101489
233	0.4755368821
234	0.475452661
235	0.47538971
236	0.4753354072
237	0.4752507078
238	0.4751571943
239	0.4751164444
240	0.4750689908
241	0.474994302
242	0.4748942732
243	0.4748546716
244	0.4747731093
245	0.4747272523
246	0.4746528492
247	0.4745791928
248	0.4744968152
249	0.4744467953
250	0.4743917133
251	0.4743280527
252	0.474264063
253	0.4741937196
254	0.4741046208
255	0.474044345
256	0.4739934055
257	0.4739422217
258	0.4738655904
259	0.4738185534
260	0.473783326
261	0.4736932426
262	0.4736135647
263	0.4735678713
264	0.4735246504
265	0.4734817667
266	0.47342393
267	0.4733907102
268	0.4733308715
269	0.47326686
270	0.4731835317
271	0.4731043122
272	0.4730388593
273	0.4729656242
274	0.4729268094
275	0.4728918625
276	0.4728425424
277	0.4728036032
278	0.4727680695
279	0.4726764267
280	0.4726063162
281	0.4725151877
282	0.4724731329
283	0.4724202206
284	0.4723845012
285	0.4723170254
286	0.4722719277
287	0.4722221648
288	0.4721367225
289	0.4720773923
290	0.4720090006
291	0.4719740068
292	0.4719363912
293	0.4718596803
294	0.4718184089
295	0.4717651616
296	0.4716926829
297	0.4716514962
298	0.4715725926
299	0.4714996068
300	0.4714486438
301	0.4714058107
302	0.4713568245
303	0.4712749195
304	0.4712127046
305	0.4711644403
306	0.4711277331
307	0.4710811463
308	0.4710008172
309	0.4709711062
310	0.4709101829
311	0.4708418415
312	0.470769734
313	0.4707325291
314	0.4706702176
315	0.4705891535
316	0.47056489
317	0.4705216024
318	0.4704602809
319	0.4703846473
320	0.4703113509
321	0.4702520784
322	0.4702012658
323	0.4701645834
324	0.4701278539
325	0.4700672595
326	0.4699972233
327	0.4699525866
328	0.4699123684
329	0.469880389
330	0.469846058
331	0.4698023635
332	0.4697441488
333	0.4696858
334	0.4696596473
335	0.4696222529
336	0.4695835087
337	0.4695501674
338	0.4694928362
339	0.4694597618
340	0.4694094216
341	0.4693634071
342	0.469291412
343	0.4692523679
344	0.4691953949
345	0.4691398612
346	0.4691041071
347	0.4690711421
348	0.4690267968
349	0.4689884957
350	0.4689093458
351	0.4688843481
352	0.4688526355
353	0.4688035378
354	0.4687479119
355	0.4687034563
356	0.4686637508
357	0.468608203
358	0.4685713118
359	0.4685487641
360	0.4685020537
361	0.4684586701
362	0.4684268196
363	0.4683879828
364	0.4683363253
365	0.4682908171
366	0.4682140939
367	0.4681589038
368	0.4681130619
369	0.4680712805
370	0.468003852
371	0.4679628492
372	0.4679209532
373	0.4678725219
374	0.4678283166
375	0.4677898987
376	0.4677291917
377	0.4676932696
378	0.4676615998
379	0.4676088868
380	0.4675864533
381	0.4675583479
382	0.4675258205
383	0.4674710703
384	0.4674306472
385	0.4673784239
386	0.4673240194
387	0.4673036154
388	0.4672817608
389	0.4672557921
390	0.4672045956
391	0.4671690984
392	0.4671313494
393	0.4670669593
394	0.4670107592
395	0.4669573999
396	0.4669240312
397	0.466867825
398	0.4668269662
399	0.4667585741
400	0.466724029
401	0.4666665211
402	0.4666362018
403	0.4666013292
404	0.4665665383
405	0.4665215795
406	0.4664830884
407	0.4664335838
408	0.4664045652
409	0.4663622729
410	0.4663303952
411	0.4663042113
412	0.4662599183
413	0.4662336638
414	0.4662122612
415	0.4661805662
416	0.4661189797
417	0.4660879813
418	0.466044377
419	0.4660028307
420	0.4659508418
421	0.4659194806
422	0.4658918862
423	0.4658628838
424	0.4658137337
425	0.4657827318
426	0.46574024
427	0.465703509
428	0.4656781902
429	0.4656522871
430	0.4656114405
431	0.4655567593
432	0.4655018748
433	0.4654595135
434	0.4654153307
435	0.4653834594
436	0.4653574866
437	0.4653155924
438	0.4652749771
439	0.4652297301
440	0.4651930696
441	0.4651278012
442	0.4650891532
443	0.4650664314
444	0.4650279307
445	0.4649667809
446	0.46492126
447	0.4648752236
448	0.4648263344
449	0.4648038704
450	0.4647784053
451	0.4647297519
452	0.4646814118
453	0.4646545638
454	0.4646044284
455	0.4645739245
456	0.4645289285
457	0.46450272
458	0.4644594036
459	0.4644237519
460	0.4643812426
461	0.4643490557
462	0.4643097378
463	0.4642708832
464	0.4642296308
465	0.464177679
466	0.4641422407
467	0.4640987303
468	0.4640541407
469	0.4640073859
470	0.4639753212
471	0.4639099459
472	0.4638742145
473	0.4638433643
474	0.4638162403
475	0.4637579069
476	0.4637257666
477	0.4636946881
478	0.4636648578
479	0.4636209485
480	0.4635938903
481	0.46352923
482	0.4635005194
483	0.4634676714
484	0.4634230614
485	0.4633928558
486	0.4633699273
487	0.4633488333
488	0.4633138879
489	0.4632709874
490	0.4632310686
491	0.4631867093
492	0.4631418131
493	0.4631000381
494	0.4630544447
495	0.4630258524
496	0.4629671703
497	0.4629330405
498	0.462884374
499	0.4628424255
500	0.462795155
501	0.4627667918
502	0.4627306563
503	0.4626935822
504	0.4626379795
505	0.4626032113
506	0.4625603058
507	0.4625273925
508	0.4624841607
509	0.4624449679
510	0.462398515
511	0.4623625338
512	0.4623416093
513	0.4623002143
514	0.4622770245
515	0.4622437476
516	0.4622195308
