iter	Passed	Remaining
402	13378	19818
403	13412	19786
404	13449	19758
405	13484	19728
406	13518	19696
407	13551	19662
408	13585	19630
409	13617	19596
410	13650	19562
411	13684	19530
412	13716	19495
413	13749	19461
414	13781	19427
415	13816	19396
416	13849	19362
417	13881	19328
418	13914	19293
419	13946	19260
420	13981	19229
421	14013	19194
422	14049	19165
423	14082	19131
424	14114	19096
425	14148	19063
426	14182	19032
427	14215	18998
428	14248	18964
429	14281	18931
430	14313	18896
431	14346	18862
432	14378	18828
433	14410	18793
434	14443	18759
435	14474	18724
436	14509	18692
437	14543	18661
438	14578	18629
439	14610	18595
440	14642	18560
441	14675	18526
442	14708	18493
443	14744	18463
444	14776	18429
445	14809	18395
446	14841	18360
447	14873	18326
448	14906	18292
449	14940	18261
450	14973	18227
451	15006	18193
452	15038	18159
453	15070	18124
454	15102	18090
455	15136	18057
456	15171	18025
457	15203	17991
458	15236	17958
459	15269	17924
460	15301	17890
461	15333	17855
462	15365	17821
463	15399	17789
464	15432	17756
465	15466	17723
466	15499	17689
467	15531	17655
468	15565	17623
469	15597	17588
470	15631	17556
471	15663	17522
472	15696	17488
473	15728	17453
474	15761	17420
475	15793	17386
476	15826	17352
477	15862	17322
478	15894	17288
479	15927	17254
480	15960	17221
481	15992	17187
482	16024	17152
483	16056	17118
484	16092	17088
485	16125	17054
486	16158	17021
487	16190	16987
488	16224	16954
489	16256	16919
490	16289	16886
491	16324	16855
492	16359	16824
493	16394	16792
494	16426	16758
495	16458	16724
496	16490	16689
497	16523	16655
498	16556	16623
499	16589	16589
500	16622	16556
501	16655	16522
502	16687	16488
503	16719	16453
504	16751	16419
505	16785	16387
506	16819	16354
507	16851	16321
508	16883	16286
509	16916	16253
510	16951	16221
511	16983	16187
512	17017	16155
513	17050	16121
514	17100	16104
515	17133	16071
516	17165	16036
517	17197	16002
518	17232	15970
519	17265	15937
520	17297	15903
521	17330	15869
522	17363	15836
523	17403	15808
524	17438	15777
525	17474	15747
526	17507	15713
527	17539	15679
528	17571	15645
529	17607	15614
530	17641	15582
531	17674	15548
532	17708	15515
533	17741	15482
534	17774	15448
535	17806	15414
536	17838	15380
537	17871	15347
538	17907	15316
539	17940	15282
540	17972	15248
541	18004	15214
542	18037	15180
543	18072	15148
544	18104	15114
545	18139	15083
546	18173	15050
547	18207	15017
548	18239	14983
549	18271	14949
550	18304	14915
551	18336	14882
552	18371	14849
553	18405	14817
554	18437	14783
555	18470	14749
556	18503	14716
557	18535	14682
558	18567	14648
559	18608	14620
560	18641	14587
561	18674	14553
562	18706	14520
563	18738	14485
564	18770	14451
565	18803	14418
566	18837	14385
567	18870	14351
568	18902	14318
569	18936	14285
